timer                                                                               ms      calls
-------------------------------------------------------------------------------------------------
load_builtin_dataflow_checkers                                                       3          1
  directive validation: local                                                        0         26
load_builtin_dataflow_directives                                                    46          1
  directive validation: local                                                        1        137
get_phase_sms                                                                     1133         30
  directive validation: local                                                        0          2
  get_dynamic_buda_checkers                                                       1070          4
    directive validation: local                                                      5        445
LOCK_FINDER_BOTTOMUP                                                                 0          1
RELAX_BLOCK_FN                                                                       0          1
RELAX_GETLOCK                                                                        0          1
RELAX_LOCKS                                                                          0          1
RELAX_UPDATE_STATE                                                                   0          1
RELAX_SERVLET_ATTRIBUTE                                                              0          1
RELAX_LOCK_STATE                                                                     0          1
DUMMY_DERIVER_CONCURRENCY                                                            0          1
IFACE_TRACKER                                                                        0          7
LOCK_FINDER_TOPDOWN                                                                  0          1
LOCK_ORDER                                                                           0          1
THREAD_CONTEXT                                                                       0          1
ALLOC_FREE_MISMATCH_pass1                                                            0          1
ALLOC_FREE_MISMATCH_pass2                                                            0          1
ASPNET_MVC_VERSION_HEADER                                                            0          1
ATTRIBUTE_NAME_CONFLICT                                                              0          1
ARRAY_VS_SINGLETON_pass1                                                             0          1
ARRAY_VS_SINGLETON_pass2                                                             0          1
ASSERT_SIDE_EFFECT                                                                   0          1
ATOMICITY_pass1                                                                      0          1
ATOMICITY_pass2                                                                      0          1
SERVLET_ATOMICITY_pass1                                                              0          1
SERVLET_ATOMICITY_pass2                                                              0          1
BAD_ALLOC_ARITHMETIC                                                                 0          1
BAD_ALLOC_STRLEN                                                                     0          1
BAD_CHECK_OF_WAIT_COND                                                               0          1
BAD_COMPARE                                                                          0          1
BAD_EQ                                                                               0          1
BAD_EQ_TYPES                                                                         0          1
BAD_FREE_pass1                                                                       0          1
BAD_FREE_pass2                                                                       0          1
__BAD_CERT_VERIFICATION_ABSTRACT_INTERPRETATION_pass1                                0          1
__BAD_CERT_VERIFICATION_ABSTRACT_INTERPRETATION_pass2                                0          1
BAD_LOCK_OBJECT_pass1                                                                0          1
BAD_LOCK_OBJECT_pass2                                                                0          1
BAD_SHIFT_pass1                                                                      0          1
BAD_SHIFT_pass2                                                                      0          1
BAD_SIZEOF                                                                           0          1
BUFFER_SIZE_pass1                                                                    0          1
BUFFER_SIZE_pass2                                                                    0          1
CALL_SUPER                                                                           0          1
CHAR_IO                                                                              0          1
